Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Animap,/img/animap-marker-pin.png,,,,UrsulaRothenfluh,/img/animap.png,<a href='https://animap.ch?p=40798' target='_blank'>https://animap.ch</a>,"Grabenstrasse 1, 8952 Schlieren ZH",47.39912263164,8.4507822990417
Animap,/img/animap-marker-pin.png,,,,Vertical Technik AG,https://animap.ch/wp-content/uploads/2021/11/Classic_RZ_def_M.jpg,<a href='https://animap.ch?p=40861' target='_blank'>https://animap.ch</a>,"Bächliackerweg 6, 4402 Frenkendorf",47.498374428446,7.7178202405462
Animap,/img/animap-marker-pin.png,,,,körperzone.ch,https://animap.ch/wp-content/uploads/2021/11/shiatsu_neu_300dpi_flyerbearb-scaled.jpg,<a href='https://animap.ch?p=40852' target='_blank'>https://animap.ch</a>,"Sternengässchen 1, 3011 Bern",46.949683654327,7.4428188800812
Animap,/img/animap-marker-pin.png,,,,"LYSTAR Gmbh, Gastro, Bäckerei und Bauberatung",/img/animap.png,<a href='https://animap.ch?p=40692' target='_blank'>https://animap.ch</a>,"Gründligasse 39, 6460 Altdorf",46.874333295037,8.6434614658356
Animap,/img/animap-marker-pin.png,,,,Plotteria GmbH,https://animap.ch/wp-content/uploads/2021/11/Laynards3.jpg,<a href='https://animap.ch?p=40826' target='_blank'>https://animap.ch</a>,"Im Tobel 4, 8340 Hadlikon",47.289367290603,8.8568580150604
Animap,/img/animap-marker-pin.png,,,,Massagen &amp; Beautypraxis Pellaton,https://animap.ch/wp-content/uploads/2021/11/Fotolia_12781151_L-scaled.jpg,<a href='https://animap.ch?p=40834' target='_blank'>https://animap.ch</a>,"Riedmattstrasse 11, 8342 Wernetshausen ZH",47.299809223934,8.861997127533
Animap,/img/animap-marker-pin.png,,,,Kinesiologie - Tina Müller,https://animap.ch/wp-content/uploads/2021/11/B6BDA5C0-D883-42E5-A0EF-DBA9E427BC12.png,<a href='https://animap.ch?p=40811' target='_blank'>https://animap.ch</a>,"Rheinfallstrasse 6, 8212 Neuhausen am Rheinfall",47.681512032417,8.6173903942108
Animap,/img/animap-marker-pin.png,,,,Praxis für Akupunktur und Innerwise,/img/animap.png,<a href='https://animap.ch?p=40800' target='_blank'>https://animap.ch</a>,"Oeggenringenstrasse 12, 6274 Eschenbach",47.133970657437,8.3193996548653
Animap,/img/animap-marker-pin.png,,,,De HolzofeBeck,/img/animap.png,<a href='https://animap.ch?p=40662' target='_blank'>https://animap.ch</a>,"Marktgasse 51, 8400 Winterthur",47.499386293744,8.7272147834301
Animap,/img/animap-marker-pin.png,,,,De GrabeBeck,/img/animap.png,<a href='https://animap.ch?p=40664' target='_blank'>https://animap.ch</a>,"Oberer Graben 34, 8400 Winterthur",47.499416193308,8.7313896417618
Animap,/img/animap-marker-pin.png,,,,ts - video,/img/animap.png,<a href='https://animap.ch?p=40660' target='_blank'>https://animap.ch</a>,"Postfach   211, 9410 Heiden",47.444038608891404,9.532047647695856
Animap,/img/animap-marker-pin.png,,,,"SOUND of SPIRIT, das etwas andere Training für Hund und Pferd",/img/animap.png,<a href='https://animap.ch?p=40782' target='_blank'>https://animap.ch</a>,"Gibel 1, 6245 Ebersecken",47.196459881664,7.9201823472977
Animap,/img/animap-marker-pin.png,,,,Sonatura Yoga & Massage,https://animap.ch/wp-content/uploads/2021/11/Kolibri_RGB_trans_Umriss.jpg,<a href='https://animap.ch?p=40769' target='_blank'>https://animap.ch</a>,"Seelmessgasse 1, 8753 Mollis",47.094804292235,9.0770244598389
Animap,/img/animap-marker-pin.png,,,,raum für neurofeedback,/img/animap.png,<a href='https://animap.ch?p=40716' target='_blank'>https://animap.ch</a>,"Sonnengutstrasse 2, 5620 Bremgarten",47.351573646267,8.3482360839844
Animap,/img/animap-marker-pin.png,,,,Fahrschule Leutwyler,/img/animap.png,<a href='https://animap.ch?p=40732' target='_blank'>https://animap.ch</a>,"Schlossweg 2, 8135 Langnau",47.288497642875,8.5405558347702
Animap,/img/animap-marker-pin.png,,,,Führung Auf Hundehöhe,https://animap.ch/wp-content/uploads/2021/11/BD5082AD-C598-4DCF-98CC-08D9519A1A27.png,<a href='https://animap.ch?p=40744' target='_blank'>https://animap.ch</a>,"Aubrigstrasse 7, 8854 Siebnen",47.175478470263,8.8925635814667
Animap,/img/animap-marker-pin.png,,,,Buntspecht - Raum für Kinder,https://animap.ch/wp-content/uploads/2021/11/IMG_E4561-scaled.jpg,<a href='https://animap.ch?p=40738' target='_blank'>https://animap.ch</a>,"Löwengraben 14, 6004 Luzern",47.052924643861,8.3045697212219
Animap,/img/animap-marker-pin.png,,,,Gallati Feinbäckerei,/img/animap.png,<a href='https://animap.ch?p=40724' target='_blank'>https://animap.ch</a>,"Im Dorf 25, 8752 Näfels",47.098587658462,9.063538312912
Animap,/img/animap-marker-pin.png,,,,Altstadt-Brocki,/img/animap.png,<a href='https://animap.ch?p=40572' target='_blank'>https://animap.ch</a>,"Pfistergasse 2-20, 4800 Zofingen",47.288286596501,7.9442980885506
Animap,/img/animap-marker-pin.png,,,,Umweltkonzepte Slobi Djukic,https://animap.ch/wp-content/uploads/2021/11/MediumSquareLogo.jpg,<a href='https://animap.ch?p=40721' target='_blank'>https://animap.ch</a>,"Plattenweg 1, 8239 Doerflingen SH",47.711508581288,8.7222862243652
Animap,/img/animap-marker-pin.png,,,,Cavallaro Montagen AG,https://animap.ch/wp-content/uploads/2021/11/Logo_Metallbau19.jpg,<a href='https://animap.ch?p=40652' target='_blank'>https://animap.ch</a>,"Affolternstrasse 45, 8913 Ottenbach",47.277312844347,8.4083363413811
Animap,/img/animap-marker-pin.png,,,,Drogerie Susanne Meier,https://animap.ch/wp-content/uploads/2021/11/LogoFmitAdresse.jpg,<a href='https://animap.ch?p=40712' target='_blank'>https://animap.ch</a>,"Albisstrasse 7, 8134 Adliswil",47.311649409145,8.5257017612457
Animap,/img/animap-marker-pin.png,,,,JoolsWOOL,https://animap.ch/wp-content/uploads/2021/11/Jools-Wool.jpg,<a href='https://animap.ch?p=40706' target='_blank'>https://animap.ch</a>,"Hauptstrasse 37, 3855 Brienz",46.75326639658,7.9922425746918
Animap,/img/animap-marker-pin.png,,,,Dikk Modellguss,https://animap.ch/wp-content/uploads/2021/11/image-scaled.jpg,<a href='https://animap.ch?p=40702' target='_blank'>https://animap.ch</a>,"Kirchweg 31, 5420 Ehrendingen",47.49964089252,8.3450174331665
Animap,/img/animap-marker-pin.png,,,,Hair &amp; Nails Patrizia Karner,https://animap.ch/wp-content/uploads/2021/11/PK_logo_1042x1042px.jpg,<a href='https://animap.ch?p=40697' target='_blank'>https://animap.ch</a>,"Kirchweg 31, 5420 Ehrendingen",47.499593778248,8.3449745178223
Animap,/img/animap-marker-pin.png,,,,Yin Yang Consulting,https://animap.ch/wp-content/uploads/2021/11/Logo-farbig_geschlossen_Text.png,<a href='https://animap.ch?p=40680' target='_blank'>https://animap.ch</a>,"Sandgasse 1, 5734 Reinach AG",47.258349510049,8.1804531812668
Animap,/img/animap-marker-pin.png,,,,WEST-CONSULT,https://animap.ch/wp-content/uploads/2021/11/LOGO2.jpg,<a href='https://animap.ch?p=40685' target='_blank'>https://animap.ch</a>,"Sandgasse 1, 5734 Reinach",47.258385918006,8.1803995370865
Animap,/img/animap-marker-pin.png,,,,Andy Anlagenbau AG,/img/animap.png,<a href='https://animap.ch?p=40687' target='_blank'>https://animap.ch</a>,"Mühlestrasse 5, 3177 Laupen",46.904717782746,7.2379356622696
Animap,/img/animap-marker-pin.png,,,,Bento-Lieferservice,https://animap.ch/wp-content/uploads/2021/11/20210616_182722_0000.png,<a href='https://animap.ch?p=40674' target='_blank'>https://animap.ch</a>,"Länggasse 75, 2504 Biel/Bienne",47.152391162927,7.2756153345108
Animap,/img/animap-marker-pin.png,,,,Klassische Homöopathie,https://animap.ch/wp-content/uploads/2021/03/Logo_WortBildMarke_RGB-scaled.jpg,<a href='https://animap.ch?p=2655' target='_blank'>https://animap.ch</a>,"Bahnhofstrasse  15, 5600 Lenzburg",47.3888768,8.1751483
